"";"Astronomia";"Bitwa pod Grunwaldem";"Bitwa Warszawska";"Chrzest Polski";"Film dokumentalny";"Film fabularny";"Fryderyk Franciszek Chopin";"Horror na ekranie – co to za gatunek";"Ile jest planet i dlaczego";"Informatyka a coraz nowsze pojêcia informatyczne";"Informatyka bez z³udzeñ";"Johann Sebastian Bach";"Ksiezyc";"Ludwig van Beethoven";"Myœlenie komputacyjne";"Piêæ dekad - historia grafiki komputerowej";"Potop szwedzki";"Rodzaje i gatunki filmowe";"Slonce";"Wolfgang Amadeus Mozart"
"„wœciek³e";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„wyspa";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„wy¿ynne”";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"„wzi¹wszy";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„zabójstwo";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„zmuszam";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"„zza";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"„¿ony";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
"„¿ycia”";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„¿ycie";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"„¿ywymi”";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<u+03c3><u+03b5><u+03bb><u+03ae><u+03bd><u+03b7>";0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
"<u+03c7><u+03c1><u+03ce>µ<u+03b1>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"<u+0441><u+043e><u+043b><u+043d><u+0446><u+0435>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"<u+0441><u+043e><u+043d><u+0446><u+0430>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"<u+0441><u+043e><u+043d><u+0446><u+0435>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"<u+0938><u+0942><u+0930><u+094d><u+092f>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"<u+1f00><u+03c3><u+03c4><u+03c1><u+03bf><u+03bd><u+03bf>µ<u+03af><u+03b1>";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"<u+1f21><u+03bb><u+03af><u+03bf><u+03c5>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"<u+1f21>µ<u+03ad><u+03c1><u+03b1>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"<u+1f25><u+03bb><u+03b9><u+03bf><u+03c2>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"<u+2609>";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
"abbot";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"abd";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aberracja";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"above";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
